fieldID,fieldName,fieldType,defaultValue,secondaryValue,fieldDescription,minValue,maxValue,tab
cq_settingsHeader,Captain's Quarters,Header,Captain's Quarters,,,,,
cq_difficulty,Difficulty,Radio,Default,"Survival, Default, Story","Survival halves every furnishing effect; Default keeps the listed values; Story doubles them.",,,
cq_market_chance,Market Stock Chance,Double,0.6,,"Chance that an open market carries one furnishing this month, before the market-size adjustment (larger markets are somewhat more likely, smaller ones less).",0.0,1.0,
cq_salvage_chance,Salvage Find Chance,Double,0.3,,"Chance that a special location (research and mining stations, orbital habitats) holds one furnishing among its salvage.",0.0,1.0,
cq_battle_chance_per_fp,Battle Salvage Chance per Fleet Point,Double,0.00952381,,"Chance of finding one furnishing in post-battle salvage, per fleet point of enemy ships disabled or destroyed. The default is 1/105 (e.g. a capital, two cruisers, three destroyers, four frigates).",0.0,0.02,
cq_slotHeader,Slots,Header,Slots,,,,,
cq_slot_price_1,Slot Price 1st,Double,5000,,"Credits for the first purchased slot (slot 6).",0,999999999,
cq_slot_price_2,Slot Price 2nd,Double,10000,,Credits for the second purchased slot (slot 7).,0,999999999,
cq_slot_price_3,Slot Price 3rd,Double,20000,,Credits for the third purchased slot (slot 8).,0,999999999,
cq_slot_price_4,Slot Price 4th,Double,50000,,Credits for the fourth purchased slot (slot 9).,0,999999999,
cq_slot_price_5,Slot Price 5th,Double,100000,,Credits for the fifth purchased slot (slot 10).,0,999999999,
cq_slot_price_6,Slot Price 6th,Double,200000,,Credits for the sixth purchased slot (slot 11).,0,999999999,
cq_slot_price_7,Slot Price 7th,Double,500000,,Credits for the seventh purchased slot (slot 12).,0,999999999,
cq_slot_price_8,Slot Price 8th,Double,1000000,,Credits for the eighth purchased slot (slot 13).,0,999999999,
cq_slot_price_9,Slot Price 9th,Double,2000000,,Credits for the ninth purchased slot (slot 14).,0,999999999,
cq_slot_price_10,Slot Price 10th,Double,5000000,,Credits for the tenth purchased slot (slot 15).,0,999999999,
cq_decorative_slot_price,Decorative Slot Price,Double,10000,,"Credits per decorative slot, up to 20. Decorative slots allow duplicate furnishings and grant no effects.",0,999999999,
