id,name,category,rarity,channel,kind,mag,pct,kind2,mag2,pct2,plugin
cq_berth_pad,Standard Berth Pad,cq_slot_bunk,common,market,peak_time,15,0,,0,0,
cq_ease_field_berth,Domain Ease-Field Berth,cq_slot_bunk,exceptional,scavenge,peak_time,30,0,,0,0,
cq_gel_mattress,Gel-Rest Mattress,cq_slot_bunk,common,market,cr_degradation,5,0,,0,0,
cq_officers_rack,Officer's Rest Rack,cq_slot_bunk,uncommon,battle,own_salvage_recovery,10,0,,0,0,
cq_cryofoam_bunk,Cryofoam Bunk,cq_slot_bunk,rare,scavenge,cr_recovery,10,0,,0,0,
cq_recruitment_print,Recruitment Print,cq_slot_wall,common,market,ground_ops,10,0,,0,0,
cq_xiv_pennant,XIV Battlegroup Pennant,cq_slot_wall,exceptional,battle,ground_ops,25,0,,0,0,
cq_path_triptych,Stations of the Path Triptych,cq_slot_wall,common,market,ground_support,20,0,,0,0,
cq_kill_marks,Kill-Mark Stencils,cq_slot_wall,uncommon,battle,marine_casualties,8,0,,0,0,
cq_warlord_banner,Captured Warlord Banner,cq_slot_wall,rare,battle,top_speed,6,0,,0,0,
cq_grav_cat,Grav-Cat,cq_slot_pet,common,market,noncombat_crew_loss,15,0,,0,0,
cq_salvage_raven,Salvage Raven,cq_slot_pet,rare,scavenge,salvage_not_rare,20,0,,0,0,
cq_hull_rat_cage,Hull-Rat Cage,cq_slot_pet,common,battle,crew_hull_damage,10,0,,0,0,
cq_cyber_parrot,Cyber-Parrot,cq_slot_pet,uncommon,market,crew_combat_loss,15,0,,0,0,
cq_agravifish_bowl,Agravifish Bowl,cq_slot_pet,uncommon,market,overload_reduction,7,0,,0,0,
cq_herb_rack,Hydroponic Herb Rack,cq_slot_plant,common,market,supply_use_capped,20,8,,0,0,
cq_rose_bonsai,Eventide Rose Bonsai,cq_slot_plant,rare,market,maneuverability,20,0,,0,0,
cq_antixenol_planter,Antixenol Planter,cq_slot_plant,common,market,cr_recovery,5,0,,0,0,
cq_prayer_garden,Gilead Prayer Garden,cq_slot_plant,uncommon,market,recovered_cr_max,11,0,,0,0,
cq_reef_terrarium,Volturn Reef Terrarium,cq_slot_plant,exceptional,scavenge,supply_use_capped,25,10,fuel_use_capped,5,8,
cq_tripad_dock,TriPad Dock,cq_slot_desk,common,market,survey_cost,10,0,,0,0,
cq_survey_cache,Domain Survey Cache,cq_slot_desk,rare,scavenge,survey_cost,20,0,,0,0,
cq_chart_table,Secondhand Chart Table,cq_slot_desk,common,market,terrain_penalty,6,0,,0,0,
cq_ephemeris,Navigator's Ephemeris,cq_slot_desk,uncommon,market,maneuverability,15,0,,0,0,
cq_slate_rack,Surveyor's Slate Rack,cq_slot_desk,uncommon,scavenge,recoil,7,0,,0,0,
cq_medal_rack,Scrap Medal Rack,cq_slot_display,common,battle,battle_salvage,5,0,,0,0,
cq_remnant_facet,Remnant Facet,cq_slot_display,rare,battle,battle_salvage,8,0,,0,0,
cq_sample_case,Academy Sample Case,cq_slot_display,common,scavenge,recovered_hull_max,8,0,,0,0,
